cond,SID,text,article_number
social,s049,Parents affect childrens' health outcomes.,92
self,s051,The article describes the results of climate change issues that were on election ballots this year.,75
self,s052,This article is how to get kid's to eat healthy.,2
social,s053,It shows how climate change is already effecting people across the world.,97
self,s054,Symptoms of poor cardiovascular health may be linked to an increased risk for Parkinson's disease.,82
social,s055,Global warming and climate change are becoming more of a public focus.,95
self,s056,Having more tools to fight cancer is important in saving lives.,104
self,s057,"I used to drink a lot of carbonated beverages until I became diabetic. They serve no value to our diet and cause obesity, bad dental health, and diabetes.",32
self,s058,A vegan got gout and had to change his diet.,26
social,s062,"People I know care about the environment and want to make sure they make the right choices and when they need to choose between paper or plastic at the grocery store, I'm sure people I know want to make sure that they are making the right choices that will less damage the environment.",57
self,s063,A chef is providing advice for how to shop well for cooking.,20
self,s064,dogs sleep well in their owners' bedrooms,38
social,s065,This article is about a probiotic that will help with obesity.,74
social,s066,Changes on climate and what we can do,1
self,s067,Because we need look out for the environment before it's too late (if it's not already),83
social,s068,I don't really know anyone with even a history of parkinsons but it could inform someone who knows a person who does. good info for everyone.,82
self,s069,This article provides information about GMO's that people may not know about.,102
self,s070,"This is so sad, I hate to see animals in any kind of danger.",101
social,s072,This article matters to people I know because we all fear cancer.,28
social,s073,This is about how nutrients in foods change when they are cooked.,42
social,s074,What avoiding colds consists of,100
social,s075,hearing loss is a major problem. i feel sad about this,90
self,s076,"how exercise keeps older people ""young and healthy""",18
social,s078,"It talks about how even though we work out to lose weight, sometimes that excess working out makes us hungrier and we end up overeating.",78
social,s079,good for staying healthy,106
